last eat in detach is 0
i inside is 0
1692318970410 4 is eating
1692318970411 3 is thinking
1692318970411 2 is sleeping
1692318970411 0 is thinking
1692318970411 1 is eating
1692318970411 4 is sleeping
1692318970411 3 is eating
1692318970412 1 is sleeping
1692318970412 3 is sleeping
1692318970412 0 is eating
1692318970412 4 is thinking
1692318970412 2 is thinking
1692318970412 2 is eating
1692318970418 2 is sleeping
1692318970419 2 is thinking
1692318970419 2 is eating
1692318970419 1 is thinking
1692318970419 3 is thinking
1692318970419 0 is sleeping
1692318970419 4 is eating
1692318970419 0 is thinking
1692318970419 2 is sleeping
1692318970419 1 is eating
1692318970419 4 is sleeping
1692318970419 3 is eating
1692318970420 2 is thinking
1692318970420 1 is sleeping
1692318970420 3 is sleeping
1692318970420 0 is eating
1692318970420 4 is thinking
1692318970420 2 is eating
1692318970420 1 is thinking
1692318970420 3 is thinking
1692318970420 0 is sleeping
1692318970420 2 is sleeping
1692318970420 1 is eating
1692318970420 4 is eating
1692318970421 2 is thinking
1692318970421 1 is sleeping
1692318970421 0 is thinking
1692318970421 4 is sleeping
1692318970421 3 is eating
1692318970421 0 is eating
1692318970421 1 is thinking
1692318970421 3 is sleeping
1692318970421 0 is sleeping
1692318970421 1 is eating
1692318970421 4 is thinking
1692318970421 4 is eating
1692318970422 1 is sleeping
1692318970422 3 is thinking
1692318970422 0 is thinking
1692318970422 2 is eating
1692318970422 4 is sleeping
1692318970422 0 is eating
1692318970423 2 is sleeping
1692318970423 1 is thinking
1692318970423 3 is eating
1692318970423 0 is sleeping
1692318970423 1 is eating
1692318970423 4 is thinking
1692318970423 2 is thinking
1692318970423 3 is sleeping
1692318970423 4 is eating
1692318970423 1 is sleeping
1692318970423 0 is thinking
1692318970423 2 is eating
1692318970424 2 is sleeping
1692318970424 1 is thinking
1692318970424 3 is thinking
1692318970424 4 is sleeping
1692318970424 3 is eating
1692318970424 0 is eating
1692318970425 3 is sleeping
1692318970425 2 is thinking
1692318970425 2 is eating
1692318970425 0 is sleeping
1692318970425 4 is thinking
1692318970425 4 is eating
1692318970426 2 is sleeping
1692318970426 1 is eating
1692318970426 3 is thinking
1692318970426 0 is thinking
1692318970426 4 is sleeping
1692318970426 3 is eating
1692318970427 2 is thinking
1692318970427 1 is sleeping
1692318970427 3 is sleeping
1692318970427 0 is eating
1692318970427 4 is thinking
1692318970427 2 is eating
1692318970428 2 is sleeping
1692318970428 1 is thinking
1692318970428 3 is thinking
1692318970428 3 is eating
1692318970428 0 is sleeping
1692318970428 1 is eating
1692318970429 2 is thinking
1692318970429 1 is sleeping
1692318970429 3 is sleeping
1692318970429 0 is thinking
1692318970429 4 is eating
1692318970429 2 is eating
1692318970430 1 is thinking
1692318970430 3 is thinking
1692318970430 4 is sleeping
1692318970430 2 is sleeping
1692318970430 0 is eating
1692318970430 3 is eating
1692318970430 0 is sleeping
1692318970430 1 is eating
1692318970430 2 is thinking
1692318970430 4 is thinking
1692318970431 1 is sleeping
1692318970431 3 is sleeping
1692318970431 0 is thinking
1692318970431 4 is eating
1692318970431 2 is eating
1692318970432 1 is thinking
1692318970432 3 is thinking
1692318970432 4 is sleeping
1692318970432 2 is sleeping
1692318970432 3 is eating
1692318970432 0 is eating
1692318970433 3 is sleeping
1692318970433 0 is sleeping
1692318970433 1 is eating
1692318970433 4 is thinking
1692318970433 4 is eating
1692318970433 2 is thinking
1692318970434 1 is sleeping
1692318970434 3 is thinking
1692318970434 0 is thinking
1692318970434 4 is sleeping
1692318970434 0 is eating
1692318970434 2 is eating
1692318970434 1 is thinking
1692318970434 0 is sleeping
1692318970434 4 is thinking
1692318970434 4 is eating
1692318970435 0 is thinking
1692318970435 4 is sleeping
1692318970436 2 is sleeping
1692318970436 1 is eating
1692318970436 3 is eating
1692318970436 4 is thinking
1692318970436 2 is thinking
1692318970436 1 is sleeping
1692318970436 3 is sleeping
1692318970436 4 is eating
1692318970436 2 is eating
1692318970436 1 is thinking
1692318970436 3 is thinking
1692318970436 4 is sleeping
1692318970436 0 is eating
1692318970436 2 is sleeping
1692318970436 3 is eating
1692318970437 2 is thinking
1692318970437 0 is sleeping
1692318970437 1 is eating
1692318970437 4 is thinking
1692318970437 3 is sleeping
1692318970437 4 is eating
1692318970437 1 is sleeping
1692318970437 3 is thinking
1692318970437 0 is thinking
1692318970437 4 is sleeping
1692318970437 2 is eating
1692318970437 0 is eating
1692318970438 1 is thinking
1692318970438 0 is sleeping
1692318970438 2 is sleeping
1692318970438 1 is eating
1692318970438 3 is eating
1692318970438 4 is thinking
1692318970439 2 is thinking
1692318970439 1 is sleeping
1692318970439 3 is sleeping
1692318970439 0 is thinking
1692318970439 4 is eating
1692318970439 1 is thinking
1692318970439 3 is thinking
1692318970439 4 is sleeping
1692318970439 0 is eating
1692318970440 0 is sleeping
1692318970440 4 is thinking
1692318970440 4 is eating
1692318970441 0 is thinking
1692318970441 4 is sleeping
1692318970442 4 is thinking
1692318970442 4 is eating
1692318970443 4 is sleeping
1692318970443 4 is thinking
1692318970443 4 is eating
1692318970444 4 is sleeping
1692318970445 4 is thinking
1692318970445 4 is eating
1692318970446 4 is sleeping
1692318970447 4 is thinking
1692318970447 4 is eating
1692318970448 4 is sleeping
1692318970449 4 is thinking
1692318970449 4 is eating
1692318970450 4 is sleeping
1692318970451 4 is thinking
1692318970451 4 is eating
1692318970451 4 is sleeping
1692318970452 4 is thinking
1692318970452 4 is eating
1692318970439 2 is eating
1692318970452 4 is sleeping
1692318970453 2 is sleeping
1692318970453 1 is eating
1692318970453 3 is eating
1692318970453 4 is thinking
1692318970453 2 is thinking
1692318970453 1 is sleeping
1692318970453 3 is sleeping
1692318970453 4 is eating
1692318970453 1 is thinking
1692318970453 3 is thinking
1692318970453 4 is sleeping
1692318970453 3 is eating
1692318970453 0 is eating
1692318970454 3 is sleeping
1692318970454 0 is sleeping
1692318970454 1 is eating
1692318970454 4 is thinking
1692318970454 4 is eating
1692318970455 1 is sleeping
1692318970455 3 is thinking
1692318970455 0 is thinking
1692318970455 4 is sleeping
1692318970455 3 is eating
1692318970455 0 is eating
1692318970456 1 is thinking
1692318970456 3 is sleeping
1692318970456 0 is sleeping
1692318970456 1 is eating
1692318970456 4 is thinking
1692318970456 4 is eating
1692318970457 1 is sleeping
1692318970457 3 is thinking
1692318970457 0 is thinking
1692318970457 4 is sleeping
1692318970457 3 is eating
1692318970457 0 is eating
1692318970458 1 is thinking
1692318970458 3 is sleeping
1692318970458 0 is sleeping
1692318970458 1 is eating
1692318970458 4 is thinking
1692318970458 4 is eating
1692318970459 1 is sleeping
1692318970459 3 is thinking
1692318970459 0 is thinking
1692318970459 4 is sleeping
1692318970459 3 is eating
1692318970459 0 is eating
1692318970460 1 is thinking
1692318970460 3 is sleeping
1692318970460 0 is sleeping
1692318970460 1 is eating
1692318970460 4 is thinking
1692318970460 4 is eating
1692318970461 1 is sleeping
1692318970461 3 is thinking
1692318970461 0 is thinking
1692318970461 4 is sleeping
1692318970461 3 is eating
1692318970461 0 is eating
1692318970462 1 is thinking
1692318970462 3 is sleeping
1692318970462 0 is sleeping
1692318970462 1 is eating
1692318970462 4 is thinking
1692318970462 4 is eating
1692318970463 1 is sleeping
1692318970463 3 is thinking
1692318970463 0 is thinking
1692318970463 4 is sleeping
1692318970463 3 is eating
1692318970463 0 is eating
1692318970464 1 is thinking
1692318970464 3 is sleeping
1692318970464 0 is sleeping
1692318970464 1 is eating
1692318970464 4 is thinking
1692318970464 4 is eating
1692318970465 1 is sleeping
1692318970465 3 is thinking
1692318970465 0 is thinking
1692318970465 4 is sleeping
1692318970465 3 is eating
1692318970465 0 is eating
1692318970466 1 is thinking
1692318970466 3 is sleeping
1692318970466 0 is sleeping
1692318970466 1 is eating
1692318970466 4 is thinking
1692318970466 4 is eating
1692318970466 1 is sleeping
1692318970467 3 is thinking
1692318970467 0 is thinking
